Source;Target;Weight;Type;PreSynTransmitter;PostSynReceptor
CEPDL;IL1DL;18;chemical;Dopamine;
CEPDL;IL2DL;1;chemical;Dopamine;
CEPDL;OLQDL;27;chemical;Dopamine;
CEPDL;OLLL;8;chemical;Dopamine;
CEPDL;CEPDR;1;chemical;Dopamine;DOP-2
CEPDL;ALML;2;chemical;Dopamine;DOP-1
CEPDL;URYDL;7;chemical;Dopamine;
CEPDL;RIBL;3;chemical;Dopamine;DOP-1
CEPDL;RICL;11;chemical;Dopamine;DOP-3
CEPDL;RICR;8;chemical;Dopamine;DOP-3
CEPDL;RIS;3;chemical;Dopamine;DOP-1
CEPDL;RMGL;6;chemical;Dopamine;
CEPDL;AVER;13;chemical;Dopamine;
CEPDL;RMDVL;13;chemical;Dopamine;
CEPDL;RMHL;1;chemical;Dopamine;
CEPDL;RMHR;8;chemical;Dopamine;
CEPDL;SIADR;4;chemical;Dopamine;DOP-2, DOP-3
CEPDL;SIBDL;2;chemical;Dopamine;DOP-2
CEPDL;SIBVR;2;chemical;Dopamine;DOP-2
CEPDL;SMBDR;5;chemical;Dopamine;
CEPDR;IL1DR;15;chemical;Dopamine;
CEPDR;IL1R;1;chemical;Dopamine;
CEPDR;OLQDR;20;chemical;Dopamine;
CEPDR;OLLR;13;chemical;Dopamine;
CEPDR;CEPDR;6;chemical;Dopamine;DOP-2
CEPDR;BDUR;5;chemical;Dopamine;
CEPDR;URXR;2;chemical;Dopamine;
CEPDR;URYDR;3;chemical;Dopamine;
CEPDR;RICL;13;chemical;Dopamine;DOP-3
CEPDR;RICR;19;chemical;Dopamine;DOP-3
CEPDR;RIFR;2;chemical;Dopamine;
CEPDR;RMGR;1;chemical;Dopamine;
CEPDR;AVEL;9;chemical;Dopamine;
CEPDR;RMDR;1;chemical;Dopamine;
CEPDR;RMDVR;3;chemical;Dopamine;
CEPDR;RMHL;7;chemical;Dopamine;
CEPDR;RMHR;1;chemical;Dopamine;
CEPDR;SIBDR;1;chemical;Dopamine;DOP-2
CEPDR;SMBDL;1;chemical;Dopamine;
CEPVL;IL1VL;9;chemical;Dopamine;
CEPVL;OLQVL;19;chemical;Dopamine;
CEPVL;OLLL;4;chemical;Dopamine;
CEPVL;URXL;2;chemical;Dopamine;
CEPVL;URYVL;5;chemical;Dopamine;
CEPVL;RIAL;1;chemical;Dopamine;DOP-2
CEPVL;RIBL;3;chemical;Dopamine;DOP-1
CEPVL;RICL;20;chemical;Dopamine;DOP-3
CEPVL;RICR;17;chemical;Dopamine;DOP-3
CEPVL;RMGL;2;chemical;Dopamine;
CEPVL;PVR;3;chemical;Dopamine;
CEPVL;AVER;5;chemical;Dopamine;
CEPVL;RMDDL;7;chemical;Dopamine;
CEPVL;RMDVR;8;chemical;Dopamine;
CEPVL;RMHL;10;chemical;Dopamine;
CEPVL;RMHR;5;chemical;Dopamine;
CEPVL;SIAVL;6;chemical;Dopamine;DOP-2, DOP-3
